Player,Market_Value
Stefan Savic,"40,00 Mill. € "
Pablo Sarabia,"40,00 Mill. € "
Thomas Müller,"40,00 Mill. € "
César Azpilicueta,"40,00 Mill. € "
Ilkay Gündogan,"40,00 Mill. € "
Aaron Ramsey,"40,00 Mill. € "
Georginio Wijnaldum,"40,00 Mill. € "
Diego Costa,"40,00 Mill. € "
Toby Alderweireld,"40,00 Mill. € "
Mats Hummels,"40,00 Mill. € "
Axel Witsel,"40,00 Mill. € "
Gerard Piqué,"40,00 Mill. € "
Karim Benzema,"40,00 Mill. € "
Alassane Plea,"38,00 Mill. € "
Paulinho,"38,00 Mill. € "
João Félix,"35,00 Mill. € "
Lucas Paquetá,"35,00 Mill. € "
Nikola Milenkovic,"35,00 Mill. € "
Maximiliano Gómez,"35,00 Mill. € "
Ryan Sessegnon,"35,00 Mill. € "
Leon Bailey,"35,00 Mill. € "
Carlos Soler,"35,00 Mill. € "
Declan Rice,"35,00 Mill. € "
Rodrigo Bentancur,"35,00 Mill. € "
Benjamin Pavard,"35,00 Mill. € "
Cengiz Ünder,"35,00 Mill. € "
Joelinton,"35,00 Mill. € "
Franck Kessié,"35,00 Mill. € "
Lorenzo Pellegrini,"35,00 Mill. € "
Wilfred Ndidi,"35,00 Mill. € "
Ángel Correa,"35,00 Mill. € "
Joe Gomez,"35,00 Mill. € "
Bruno Fernandes,"35,00 Mill. € "
André Onana,"35,00 Mill. € "
Thilo Kehrer,"35,00 Mill. € "
Hakim Ziyech,"35,00 Mill. € "
André Silva,"35,00 Mill. € "
Andreas Christensen,"35,00 Mill. € "
Jonathan Tah,"35,00 Mill. € "
Nico Elvedi,"35,00 Mill. € "
Arkadiusz Milik,"35,00 Mill. € "
Fred,"35,00 Mill. € "
Ante Rebic,"35,00 Mill. € "
Victor Lindelöf,"35,00 Mill. € "
Adrien Rabiot,"35,00 Mill. € "
Tiemoué Bakayoko,"35,00 Mill. € "
Wissam Ben Yedder,"35,00 Mill. € "
Wilfried Zaha,"35,00 Mill. € "
Matthias Ginter,"35,00 Mill. € "
Thomas Meunier,"35,00 Mill. € "
Kieran Trippier,"35,00 Mill. € "
Julian Draxler,"35,00 Mill. € "
Nemanja Matic,"35,00 Mill. € "
Duván Zapata,"35,00 Mill. € "
Mateo Kovacic,"35,00 Mill. € "
Andrej Kramaric,"35,00 Mill. € "
Marcelo,"35,00 Mill. € "
Ivan Perisic,"35,00 Mill. € "
Marko Arnautovic,"35,00 Mill. € "
Leonardo Bonucci,"35,00 Mill. € "
Mesut Özil,"35,00 Mill. € "
Abdou Diallo,"33,00 Mill. € "
David Neres,"32,00 Mill. € "
Iñigo Martínez,"32,00 Mill. € "
Lucas Moura,"32,00 Mill. € "
Mattéo Guendouzi,"30,00 Mill. € "
Achraf Hakimi,"30,00 Mill. € "
Pablo Fornals,"30,00 Mill. € "
Ibrahima Konaté,"30,00 Mill. € "
Dayot Upamecano,"30,00 Mill. € "
Dan-Axel Zagadou,"30,00 Mill. € "
James Maddison,"30,00 Mill. € "
Ferland Mendy,"30,00 Mill. € "
Yerry Mina,"30,00 Mill. € "
Eric Bailly,"30,00 Mill. € "
Steven Bergwijn,"30,00 Mill. € "
Moussa Marega,"30,00 Mill. € "
Presnel Kimpembe,"30,00 Mill. € "
Álvaro Odriozola,"30,00 Mill. € "
Issa Diop,"30,00 Mill. € "
Patrick Cutrone,"30,00 Mill. € "
Aleksandr Golovin,"30,00 Mill. € "
Nicolò Barella,"30,00 Mill. € "
Alex Telles,"30,00 Mill. € "
Iñaki Williams,"30,00 Mill. € "
Gonçalo Guedes,"30,00 Mill. € "
Jean-Philippe Gbamin,"30,00 Mill. € "
Michy Batshuayi,"30,00 Mill. € "
Jean Michaël Seri,"30,00 Mill. € "
Andrea Belotti,"30,00 Mill. € "
Matteo Politano,"30,00 Mill. € "
Yussuf Poulsen,"30,00 Mill. € "
Rodrigo,"30,00 Mill. € "
Alessandro Florenzi,"30,00 Mill. € "
Luis Alberto,"30,00 Mill. € "
Emre Can,"30,00 Mill. € "
Gylfi Sigurdsson,"30,00 Mill. € "
Shkodran Mustafi,"30,00 Mill. € "
Nacho,"30,00 Mill. € "
Dries Mertens,"30,00 Mill. € "
Henrikh Mkhitaryan,"30,00 Mill. € "
Nicolás Otamendi,"30,00 Mill. € "
Wojciech Szczesny,"30,00 Mill. € "
Javi Martínez,"30,00 Mill. € "
Jan Vertonghen,"30,00 Mill. € "
Radja Nainggolan,"30,00 Mill. € "
Blaise Matuidi,"30,00 Mill. € "
Jérôme Boateng,"30,00 Mill. € "
Sergio Ramos,"30,00 Mill. € "
Hugo Lloris,"30,00 Mill. € "
Rúben Dias,"28,00 Mill. € "
Gelson Martins,"28,00 Mill. € "
Keita Baldé,"28,00 Mill. € "
André Gomes,"28,00 Mill. € "
Alejandro Grimaldo,"28,00 Mill. € "
Nathan Aké,"28,00 Mill. € "
Rony Lopes,"28,00 Mill. € "
Danilo Pereira,"28,00 Mill. € "
Ross Barkley,"28,00 Mill. € "
Ander Herrera,"28,00 Mill. € "
Oscar,"28,00 Mill. € "
Steven Nzonzi,"28,00 Mill. € "
Jordan Henderson,"28,00 Mill. € "
Ismaïla Sarr,"27,00 Mill. € "
Thomas Delaney,"27,00 Mill. € "
Mário Fernandes,"26,00 Mill. € "
Stephan El Shaarawy,"26,00 Mill. € "
Yacine Brahimi,"26,00 Mill. € "
Aaron Wan-Bissaka,"25,00 Mill. € "
Phil Foden,"25,00 Mill. € "
Lautaro Martínez,"25,00 Mill. € "
Callum Hudson-Odoi,"25,00 Mill. € "
Júnior Firpo,"25,00 Mill. € "
André Zambo Anguissa,"25,00 Mill. € "
Ben Chilwell,"25,00 Mill. € "
Donny van de Beek,"25,00 Mill. € "
Carles Aleñà,"25,00 Mill. € "
Allan Saint-Maximin,"25,00 Mill. € "
Jefferson Lerma,"25,00 Mill. € "
Talisca,"25,00 Mill. € "
Santi Mina,"25,00 Mill. € "
Alex Iwobi,"25,00 Mill. € "
Lucas Vázquez,"25,00 Mill. € "
Raúl Jiménez,"25,00 Mill. € "
Ruben Loftus-Cheek,"25,00 Mill. € "
Bryan Cristante,"25,00 Mill. € "
Mattia Caldara,"25,00 Mill. € "
Ben Davies,"25,00 Mill. € "
Stanislav Lobotka,"25,00 Mill. € "
Maximilian Eggestein,"25,00 Mill. € "
Shoya Nakajima,"25,00 Mill. € "
Luke Shaw,"25,00 Mill. € "
Morgan Sanson,"25,00 Mill. € "
Jordan Veretout,"25,00 Mill. € "
Matías Vecino,"25,00 Mill. € "
Nicolás Tagliafico,"25,00 Mill. € "
Simone Verdi,"25,00 Mill. € "
Dennis Praet,"25,00 Mill. € "
Geoffrey Kondogbia,"25,00 Mill. € "
Abdoulaye Doucouré,"25,00 Mill. € "
Lucas Digne,"25,00 Mill. € "
Faouzi Ghoulam,"25,00 Mill. € "
Kerem Demirbay,"25,00 Mill. € "
Callum Wilson,"25,00 Mill. € "
Willian José,"25,00 Mill. € "
Michael Keane,"25,00 Mill. € "
Emil Forsberg,"25,00 Mill. € "
Marcel Sabitzer,"25,00 Mill. € "
William Carvalho,"25,00 Mill. € "
Juan Cuadrado,"25,00 Mill. € "
Xherdan Shaqiri,"25,00 Mill. € "
Kevin Volland,"25,00 Mill. € "
Victor Wanyama,"25,00 Mill. € "
Bernd Leno,"25,00 Mill. € "
Pedro,"25,00 Mill. € "
Anthony Lopes,"25,00 Mill. € "
Asier Illarramendi,"25,00 Mill. € "
Diego Godín,"25,00 Mill. € "
Aleksandar Mitrovic,"25,00 Mill. € "
Danny Rose,"25,00 Mill. € "
David Luiz,"25,00 Mill. € "
Juan Mata,"25,00 Mill. € "
David Silva,"25,00 Mill. € "
Mario Mandzukic,"25,00 Mill. € "
Luka Modric,"25,00 Mill. € "
Florian Neuhaus,"24,00 Mill. € "
Giovanni Simeone,"23,00 Mill. € "
Elseid Hysaj,"23,00 Mill. € "
Giacomo Bonaventura,"23,00 Mill. € "
Edin Dzeko,"23,00 Mill. € "
